filename,transcript,speaker_id,audio_length
1CH_001.mp3,Unknown,default,Unknown
1CH_002.mp3,Unknown,default,Unknown
1CH_003.mp3,Unknown,default,Unknown
1CH_004.mp3,Unknown,default,Unknown
1CH_005.mp3,Unknown,default,Unknown
1CH_006.mp3,Unknown,default,Unknown
1CH_007.mp3,Unknown,default,Unknown
1CH_008.mp3,Unknown,default,Unknown
1CH_009.mp3,Unknown,default,Unknown
1CH_010.mp3,Unknown,default,Unknown
1CH_011.mp3,Unknown,default,Unknown
1CH_012.mp3,Unknown,default,Unknown
1CH_013.mp3,Unknown,default,Unknown
1CH_014.mp3,Unknown,default,Unknown
1CH_015.mp3,Unknown,default,Unknown
1CH_016.mp3,Unknown,default,Unknown
1CH_017.mp3,Unknown,default,Unknown
1CH_018.mp3,Unknown,default,Unknown
1CH_019.mp3,Unknown,default,Unknown
1CH_020.mp3,Unknown,default,Unknown
1CH_021.mp3,Unknown,default,Unknown
1CH_022.mp3,Unknown,default,Unknown
1CH_023.mp3,Unknown,default,Unknown
1CH_024.mp3,Unknown,default,Unknown
1CH_025.mp3,Unknown,default,Unknown
1CH_026.mp3,Unknown,default,Unknown
1CH_027.mp3,Unknown,default,Unknown
1CH_028.mp3,Unknown,default,Unknown
1CH_029.mp3,Unknown,default,Unknown
1CO_001.mp3,Unknown,default,Unknown
1CO_002.mp3,Unknown,default,Unknown
1CO_003.mp3,Unknown,default,Unknown
1CO_004.mp3,Unknown,default,Unknown
1CO_005.mp3,Unknown,default,Unknown
1CO_006.mp3,Unknown,default,Unknown
1CO_007.mp3,Unknown,default,Unknown
1CO_008.mp3,Unknown,default,Unknown
1CO_009.mp3,Unknown,default,Unknown
1CO_010.mp3,Unknown,default,Unknown
1CO_011.mp3,Unknown,default,Unknown
1CO_012.mp3,Unknown,default,Unknown
1CO_013.mp3,Unknown,default,Unknown
1CO_014.mp3,Unknown,default,Unknown
1CO_015.mp3,Unknown,default,Unknown
1CO_016.mp3,Unknown,default,Unknown
1JN_001.mp3,Unknown,default,Unknown
1JN_002.mp3,Unknown,default,Unknown
1JN_003.mp3,Unknown,default,Unknown
1JN_004.mp3,Unknown,default,Unknown
1JN_005.mp3,Unknown,default,Unknown
1KI_001.mp3,Unknown,default,Unknown
1KI_002.mp3,Unknown,default,Unknown
1KI_003.mp3,Unknown,default,Unknown
1KI_004.mp3,Unknown,default,Unknown
1KI_005.mp3,Unknown,default,Unknown
1KI_006.mp3,Unknown,default,Unknown
1KI_007.mp3,Unknown,default,Unknown
1KI_008.mp3,Unknown,default,Unknown
1KI_009.mp3,Unknown,default,Unknown
1KI_010.mp3,Unknown,default,Unknown
1KI_011.mp3,Unknown,default,Unknown
1KI_012.mp3,Unknown,default,Unknown
1KI_013.mp3,Unknown,default,Unknown
1KI_014.mp3,Unknown,default,Unknown
1KI_015.mp3,Unknown,default,Unknown
1KI_016.mp3,Unknown,default,Unknown
1KI_017.mp3,Unknown,default,Unknown
1KI_018.mp3,Unknown,default,Unknown
1KI_019.mp3,Unknown,default,Unknown
1KI_020.mp3,Unknown,default,Unknown
